"country","crew","purpose","duration","vehicle","eva","date"
"Russia","Fyodor Yurchikhin;Oleg Kotov;","Start delayed 45 minutes due to comm misconfig.  Transferred MMOD panels from PMA3 to SM and installed 5 of 17 panels.  Installed ATV GPS antenna cable.  Suit wrist mirror lost overboard.","5:25","ISS Incr-15","352","2007-05-30T00:00:00.000"
"Russia","Fyodor Yurchikin;Mikhail Kornienko;","Replaced degraded ATV docking camera and jettisoned old unit.  Removed launch restraints from MRM1 camera.  Installed cables to enable dockings to MRM1.  Lost cable clamp","6:42","ISS Incr-24","361","2010-07-27T00:00:00.000"
"Russia","Fyodor Yurchikin;Oleg Skripochka;","Installed experiment platform on SM large diameter, CKK materials experiment on MRM2 and two handrail gap spanners.  Collected sample wipes of prop byproducts and microbes from thermal blankets.  Retrieved ROKVISS robot experiment and jettisoned wipedown towels.  Removed but not able to relocate MRM1 TV camera due to thermal blanket.  FGB paint chips lost overboard","6:27","ISS Incr-25","362","2010-10-15T00:00:00.000"
"Russia","G. Padelka;Sergei Avdeyev;","Internal EVA inside Spektr to connect solar array orientation cable in response to avionics failure.","0:30","Soyuz TM-28           Mir 26","325","1998-09-15T00:00:00.000"
"Russia","G. Padelka;Sergei Avdeyev;","Manual launch of Sputnik demo satellite.  Install Dvikon suit material exposure experiment on base block Igla antenna.  Retrieve bagged sample after thruster exhaust exposure.  Attach and deploy experimental solar array on docking module trunnion.  Replace thermal blanket over pwr connectors.  Retrieve  Keramika, Danko, Solyaris and SMMK experiments.  Deploy Komet, Spika, Migmas and Sprut experiments on Kvant2.","5:50","Soyuz TM-28           Mir 26","326","1998-11-10T00:00:00.000"
"Russia","Gennady Manakov;Alexandr Poleshchuk;","Relocated second solar array base from Kristall to Kvant-1","4:32","Soyuz TM-16     Mir 15","284","1993-06-18T00:00:00.000"
"Russia","Gennady Manakov;Alexandr Poleshchuk;","Relocated solar array control base from Kristall to Kvant-1.  Vent problem in 1 suit, crane handle lost","5:25","Soyuz TM-16     Mir 15","283","1993-04-19T00:00:00.000"
"Russia","Gennady Manakov;Gennady Strekalov;","Kvant 2 airlock hatch repair (remove insulation, temp fix to hinge), dismount ATLAS TV camera","3:05","Soyuz TM-10    Mir ","266","1990-10-29T00:00:00.000"
"Russia","Gennady Padalka;Mike Barratt;","First use of new Orlan MK suits with digital caution/warning electronics.  Started 1 hour late due to faulty CO2 readings.  Installed two docking navigation antennas on zenith port of service module as prep for MRM2 arrival","4:54","ISS Incr-19","358","2009-06-05T00:00:00.000"
"Russia","Gennady Padalka;Mike Barratt;","Relocated docking cone to zenith port of Service Module as prep for MRM2 arrival","0:12","ISS Incr-19","359","2009-06-10T00:00:00.000"
"Russia","Gennady Padalka;Mike Fincke;","Fincke's Orlan O2 injector lever not in fully closed position.  EVA attempt terminated early.","0:14","ISS Incr-9","341","2004-06-24T00:00:00.000"
"Russia","Gennady Padalka;Mike Fincke;","Installed 2 ATV antennas.  Removed 6 ATV laser reflectors and installed 3 new reflectors.  Demated cable from failed ATV camera.  Replaced several experiments (Kromka thruster contam, CKK material exposure, Platan-M cosmic rays).  Installed 2 handrail end stops on DC1 aft hatch","4:30","ISS Incr-9","343","2004-08-03T00:00:00.000"
"Russia","Gennady Padalka;Mike Fincke;","Replaced FGB thermal system fluid control unit.  Installed 4 safety tether fairleads on FGB.  Stopped motion to aid test for phantom torque upon CMGs.  Installed 3 ATV antennas on SM and removed 5 antenna covers.  Installed 3 of 4 handrail end stops on DC1 fwd hatch.  Photographed MPAC/SEEDS experiment.  Jettisoned antenna covers, glove wipe towels & container with old FGB ORU (~ 10 items)","5:21","ISS Incr-9","344","2004-09-03T00:00:00.000"
"Russia","Gennady Padalka;Mike Fincke;","Replaced RPCM on SO truss for CMG #2 after extending and translating along Strela crane.  Completed getahead tasks on DC1 (contamination sensor, fabric handrails, 2 handrail end stops)","5:39","ISS Incr-9","342","2004-06-30T00:00:00.000"
"Russia","Gennady Padalka;Yuri Malenchenko;","1 hr late start due to airlock valve.  Relocated cargo crane from DC1 to FGB as prep for MLM.  Installed MMOD shields on Service Module and support struts for airlock exit ladder.  Deployed small satellite and retrieved Biorisk experiment canister","5:51","ISS Incr-32","367","2012-08-20T00:00:00.000"
"Russia","Leonid Kizim;Vladimir Solovyov;","Add pipe, leak check, cover with blanket","2:45","Soyuz T-10     Salyut 7","244","1984-04-29T00:00:00.000"
"Russia","Leonid Kizim;Vladimir Solovyov;","Continue leaky propellant line repair/replace","2:45","Soyuz T-10     Salyut 7","245","1984-05-04T00:00:00.000"
"Russia","Leonid Kizim;Vladimir Solovyov;","Ferma-Postroite 15m truss deploy after installing vibration measurement unit. Complete Mayak deploy manually.  Weld truss joints.  ","5:01","Soyuz T-15       Salyut 7","251","1986-05-31T00:00:00.000"
"Russia","Leonid Kizim;Vladimir Solovyov;","Ferma-Postroite 15m truss deploy/stow.  Install Mayak optical instrument.  Retrieve ISTOK-EM material samples.  Test new Orlan DM suits","3:40","Soyuz T-15       Salyut 7","250","1986-05-28T00:00:00.000"
"Russia","Leonid Kizim;Vladimir Solovyov;","Install pipe/valve, purge and leak check manfold","5:00","Soyuz T-10     Salyut 7","243","1984-04-26T00:00:00.000"
"Russia","Leonid Kizim;Vladimir Solovyov;","Install solar array additions (2).  Jettison boxes","3:03","Soyuz T-10     Salyut 7","246","1984-05-18T00:00:00.000"
"Russia","Leonid Kizim;Vladimir Solovyov;","Place tool boxes, equipment, portable ladder.  Use pnuematic punch & cutter to get thru station skin.   ","4:15","Soyuz T-10     Salyut 7","242","1984-04-23T00:00:00.000"
"Russia","Leonid Kizim;Vladimir Solovyov;","Remove thermal cover w/ special tool.  Seal leaky propellant oxidizer pipe with pinching device.  Cut  free & bring in solar array section","5:00","Soyuz T-10     Salyut 7","247","1984-08-08T00:00:00.000"
"Russia","Leroy Chiao;Salizhan Sharipov;","Installed 3 ATV antennas on SM fwd end.  Jettisoned German Nanosputnik experiment.  Installed ATV GPS antenna on SM aft end.  Photographed/observed ONA antenna drive to aid MCC-M troubleshooting.  Inpected ATV retroreflector for contamination (little found).  Jettisoned elec caps, antenna covers, glove wipe towels","4:30","ISS Incr-10","346","2005-03-28T00:00:00.000"
"Russia","Leroy Chiao;Salizhan Sharipov;","Installed science workstation and German Rokviss robotic experiment on SM.  Transfered MPAC/SEEDs experiment panel to new location on same stand.  Installed Rokviss antenna on MPAC/SEEDs mounting structure (cable reconnection due to initial mating error).  Photoed contamination on vent valves of Elektron, Vozdukh and trace gas system to aid MCC-M troubleshooting.  Installed BioRisk experiment on DC1.  19 items jettisoned (elec caps, glove wipes)","5:28","ISS Incr-10","345","2005-01-26T00:00:00.000"
"Russia","Mikhail Tyurin;Michael Lopez-Alegria;","Cut/cleared Progress antenna interfering with undocking. Adjusted ATV antenna interfaces. Replaced a materials experiment. Installed data cable of radiation experiment. Photographed ATV reflectors and numerous experiments. Installed 2 foot restraints outside airlock. Inspected safety of cargo crane mechanisms.  Successfully used new LED helmet lights.  EV1's sublimator breakthru caused helmet fogging before reset correction.","6:18","ISS Incr-14","351","2007-02-22T00:00:00.000"
"Russia","Mikhail Tyurin;Michael Lopez-Alegria;","Performed golf demo (one ball jettisoned).  Inspected but unable to stow Progress antenna.  Relocated ATV antenna impairing SM reboost engine.  Installed solar radiation experiment (minus data cable)","5:38","ISS Incr-14","350","2006-11-22T00:00:00.000"
"Russia","Oleg Kononenko;Anton Shkaplerov;","Relocated 1st strela crane from DC1 to MRM1 and jettisoned base thermal cover.  Installed materials exposure experiment and took 1 of 2 swab samples of contamination under thermal blanket.  Due to time, did not install SM MMOD shields","6:15","ISS Incr-30","366","2012-02-16T00:00:00.000"
"Russia","Oleg Kotov;Maxim Suraev;","Prepped new module (MRM2) for Soyuz/Progress usage by installing Kurs navigation antennas/cables and docking targets.  Installed 2 hatch handrails, jettisoned excess thermal blankets and retrieved can of Biorisk experiment","5:44","ISS Incr-22","360","2010-01-14T00:00:00.000"
"Russia","Pavel Vinogradov;Jeff Williams;","Installed new hydrogen vent for Elektron O2 generator.  Retrieved Kromka, BKHD and Biorisk experiments.  Relocated ATV WAL3 antenna cable to improve system performance.  Photographed ATV WAL2 antenna and SM reboost engine to aid engine cover troubleshooting.  Lost crane foot restraint adapter.  Replaced MBS camera (EVA extended by 50 min to permit task).","6:31","ISS Incr-13","349",NA
"Russia","Pavel Vinogradov;Roman Romanenko;","Installed plasma experiment/cables/probes, replaced degraded ATV navigation reflector, jettisoned cable reel, towels and probe boxes, retrieved biorisk canister. Lost materials exposure experiment overboard","6:38","ISS Incr-35","368","2013-04-19T00:00:00.000"
"Russia","Sergei Avdeyev;Thomas Reiter;","Deploy ESEF materials experiment and replace Komza cassettes on Spektr","5:16","Soyuz TM-X     Mir 20","300",NA
"Russia","Sergei Avdeyev;Yuri Gidzenko;","Move base block docking port as prep for Priroda docking","0:32","Soyuz TM-X     Mir 20","301",NA
"Russia","Sergei Krikalev;Anatoli Artsebarsky;","Assemble and elevate Sofora 14.5m truss (sections 15-17).  A. helmet fogged over forcing guide down truss by K.  Jettison old suit","6:49","Soyuz TM-12      Mir ","276","1991-07-27T00:00:00.000"
"Russia","Sergei Krikalev;Anatoli Artsebarsky;","Assemble Sofora 14.5m truss (sections 1-3)","5:28","Soyuz TM-12      Mir ","274","1991-07-19T00:00:00.000"
"Russia","Sergei Krikalev;Anatoli Artsebarsky;","Assemble Sofora 14.5m truss (sections 4-14)","5:42","Soyuz TM-12      Mir ","275","1991-07-23T00:00:00.000"
"Russia","Sergei Krikalev;Anatoli Artsebarsky;","Install TREK radiation exp.  Install scanning TV camera for EVA monitoring","3:24","Soyuz TM-12      Mir ","272","1991-06-28T00:00:00.000"
"Russia","Sergei Krikalev;Anatoli Artsebarsky;","Repair Kvant1 Kurs antenna.  Connect ATLAS TV connectors.  Test thermo mechanical joints of Sofora truss","4:58","Soyuz TM-12      Mir ","271","1991-06-25T00:00:00.000"
"Russia","Sergei Krikalev;Anatoli Artsebarsky;","Transfer Sofora 14.5m truss mounting platform to Kvant1","5:56","Soyuz TM-12      Mir ","273","1991-07-15T00:00:00.000"
"Russia","Sergei Krikalev;John Phillips;","Retrieve canister #1 of the Biorisk experiment can #1,  MPAC/SEEDS materials experiment panel #3 and Matryoshka radiation dosimetry experiment.  Install Automated Transfer Vehicle (ATV) backup docking camera.  Relocate SKK material experiment #4 and install #5.  Ran out of time to relocate Russian cargo crane grapple fixture adapter from FGB to PMA3 (prep for STS-116/12A.1)","4:58","ISS Incr-11","347","2005-08-18T00:00:00.000"
"Russia","Sergei Volkov;Alexander Samokutyaev;","Installed laser comm and Biorisk experiments.  Jettisoned covers of laser experiment. After delay due to broken rcvr antenna, deployed ham radio satellite Radioskaf-V/Arissat-1.  Removed SM-MRM1 Kurs antenna from SM.  Took photos of materials experiments, degraded antenna and images of Russian space heroes.  Due to time, did not relocate strela crane from DC1 to MRM1.  ","6:23","ISS Incr-28","365","2011-08-03T00:00:00.000"
"Russia","Sergei Volkov;Oleg Kononenko;","Prepped for new module (MRM2) installation by installing a SM docking target and inspecting antenna attach points.  Installed Vsplesk cosmic radiation experiment and retrieved Biorisk experiment.  Unbent a ham radio antenna.","5:54","ISS Incr-17","355","2008-07-15T00:00:00.000"
"Russia","Sergei Volkov;Oleg Kononenko;","Removed a pyrobolt from 1 of 5 Soyuz capsule restraints.  First use of US helmet TV on Orlan.  Lost tool and insulation fragments overboard.  Jettisoned thruster cover bounced off radiator in wrong direction.","6:19","ISS Incr-17","354","2008-07-10T00:00:00.000"
"Russia","Sergei Zaletin;Alexander Kaleri;","Inspected and photographed short circuit damaged solar array cable on Kvant-1.  Tested module leak repair sealant on sample panel.  Retrieved a solar array test sample from the docking module.  Conducted general inspection/photography of health of Mir exterior (panorama)","5:30","Soyuz TM-30    Mir 28","330","2000-05-12T00:00:00.000"
"Russia","Svetlana Savitskaya;Vladimir Dzhanibekov;","First female EVA.  Welding, cutting, soldering, metal spraying with Paton Institute tool","3:34","Soyuz T-12      Salyut 7","248","1984-07-25T00:00:00.000"
"Russia","Talgat Musabeyev;Nikola Budarin;","Install handrails and foot restraints on Spektr around damaged solar array.  ","6:26","Soyuz TM-27     Mir 25","320","1998-04-01T00:00:00.000"
"Russia","Talgat Musabeyev;Nikola Budarin;","Install new VDU on Sofora and erect to vertical pos.  Jettison of ???????","6:21","Soyuz TM-27     Mir 25","324","1998-04-22T00:00:00.000"
"Russia","Talgat Musabeyev;Nikola Budarin;","Jettison VDU roll thruster package from Sofora top","6:25","Soyuz TM-27     Mir 25","322","1998-04-11T00:00:00.000"
"Russia","Talgat Musabeyev;Nikola Budarin;","Manual wrenches inadequate to release hatch bolts.  Spektr solar array reinforcement deferred.","0:00","Soyuz TM-27     Mir 25","319","1998-03-03T00:00:00.000"
"Russia","Talgat Musabeyev;Nikola Budarin;","Prepare new VDU for Sofora mating.  Clear Ferma-3 & Rapana trusses.  Tighten Sofora bolts","6:33","Soyuz TM-27     Mir 25","323","1998-04-17T00:00:00.000"
"Russia","Talgat Musabeyev;Nikola Budarin;","Reinforce Spektr solar array.  Retrieve Komza ","4:23","Soyuz TM-27     Mir 25","321","1998-04-06T00:00:00.000"
"Russia","Valeri Tokarev;Bill McArthur;;","Jettisoned life expired Orlan suit with Ham radio inside (RadioSkaf or Suit Sat).  Relocated Strela adapter from FGB to PMA-3. Removed zenith TUS cable from IUA, secured to MT handrail because safing bolt would not engage adequately. Retrieved science experiment (Biorisk) and photographed exterior of Service Module.","5:44","ISS Incr-12","348","2006-02-03T00:00:00.000"
"Russia","Valeri Tsibliev;Jerry Linenger;","Deploy OPM and TLD/Benton dosimeters.  Retrieve PIE and MSRE.  Use U.S. EVA tether and 35mm camera.  First use of new Orlan M suits","4:57","Soyuz TM-25       Mir 23","311","1997-04-29T00:00:00.000"
"Russia","Valeri Tsibliyev;Alexandr Serebrov;","Complete Panorama exterior inspections, discard used Orlan suit","4:12","Soyuz TM-17    Mir 16","289",NA
"Russia","Valeri Tsibliyev;Alexandr Serebrov;","Deploy Rapana small truss with material samples ","3:13","Soyuz TM-17    Mir 16","286","1993-09-20T00:00:00.000"
"Russia","Valeri Tsibliyev;Alexandr Serebrov;","Exterior inspections started.  SKK science deployed.  O2 failure in S's suit stops work","0:37","Soyuz TM-17    Mir 16","288",NA
"Russia","Valeri Tsibliyev;Alexandr Serebrov;","Inspect for Perseid meteor shower damage.  Place Danko-M construction materials for exposure.  Retrieve one TREK panel.  Cooling system failure in T's suit shortens EVA","1:51","Soyuz TM-17    Mir 16","287","1993-09-28T00:00:00.000"
"Russia","Valeri Tsibliyev;Alexandr Serebrov;","Install stowed Rapana small truss on Kvant1.  Install material samples (Indikator, Plenka5, Strakhovka)","4:19","Soyuz TM-17    Mir 16","285","1993-09-16T00:00:00.000"
"Russia","Valery Korzun;Alexander Kaleri;","Install Kurs antenna on docking module (including routing/mating cable to Kristall).  Tighten connector of amateur radio antenna on base block","6:36","Soyuz TM-24       Mir 22","310",NA
"Russia","Valery Korzun;Alexander Kaleri;","Install last 1/2 of cables for cooperative array on Kvant-1.  Connect solar array power cables on base block.  Relocate Rapana truss to Ferma-3 truss","5:57","Soyuz TM-24       Mir 22","309",NA
"Russia","Valery Korzun;Peggy Whitson;","EVA delayed 1:43 due to missed opening of primary O2 bottles in both suits.  Removed 6 MMOD shield panels from PMA-1 and installed them on SM.  Deferred EVA tasks for swab of fuel/oxidizer residue and installation of Kromka experiment.  ","4:25","ISS Incr-5","338","2002-08-16T00:00:00.000"
"Russia","Valery Korzun;Sergei Treschev;","Installed ORU attachment frame outside FGB to house components for EVA assembly tasks.  Retrieved and replaced panel #1 of Japan's MPAC/SEEDs materials experiments outside SM.  Installed 4 fairleads on FGB for future routing of tethers.  Added two ham radio antennas on SM (WA1 & WA2).  Replaced the earlier deferred Kromka hardware.  Inspected MMOD sensor outside SM.","5:21","ISS Incr-5","339","2002-08-26T00:00:00.000"
"Russia","Victor Afanasyev;Jean-Pierre Heignere;","Attempted demo of leak repair device failed due to valve failure.  Deployed organic material exposure experiment and retrieved French MMOD experiment.  Manual launch of Sputnik demo satellite.  ","6:19","Soyuz TM-29           Mir 27","327","1999-04-16T00:00:00.000"
"Russia","Victor Afanasyev;Musa Manarov;","Cargo transfer boom installed on core module (using bolt hole punch).  Ferrer science retrieved","5:34","Soyuz TM-11       Mir ","268","1991-01-23T00:00:00.000"
"Russia","Victor Afanasyev;Musa Manarov;","Inspect damaged Kurs antenna on Kvant-1.  Install repaired ATLAS TV camera.  Test thermo mechanical joints of Sofora truss","3:34","Soyuz TM-11       Mir ","270","1991-04-25T00:00:00.000"
"Russia","Victor Afanasyev;Musa Manarov;","Kvant 2 airlock hatch hinge replacement","5:19","Soyuz TM-11       Mir ","267","1991-01-07T00:00:00.000"
"Russia","Victor Afanasyev;Musa Manarov;","Truss installation for solar arrays on Kvant-1.  Install Kurs reflectors.  Accidental damage to Kurs","6:19","Soyuz TM-11       Mir ","269","1991-01-26T00:00:00.000"
"Russia","Victor Afanasyev;Sergei Avdeyev;","Finished full deploy of an experimental 6-meter antenna on Sofora truss.  At the end of the experiment the antenna was jettisoned.  Also installed experiments Indicator and Sprut-4, changed the cassettes of the Migmas ion spectrometer and retrieved Danko-M and Ekran-D experiments.  Problem with suit cooling ended EVA.","5:22","Soyuz TM-29           Mir 27","329","1999-07-28T00:00:00.000"
"Russia","Victor Afanasyev;Sergei Avdeyev;","Installed a new experimental 6-meter diameter antenna on Sofora truss but failed to deploy it fully.  Unsuccessfully sought source of small leak in Kvant-2 atmosphere.  Retrieved the Exobiology and Dvikon experiments.  ","6:07","Soyuz TM-29           Mir 27","328","1999-07-23T00:00:00.000"
"Russia","Victor Lazerov;Oleg Makarov;","New Orlan D suits checked out inside cabin","0:00","Soyuz 12","235",NA
"Russia","Vladimir Dezhurov;Frank Culbertson;","DC1-SM hatch leaked during initial depress.  Wipe of seals and reclosure resolved leak (30 minute delay).  Connected Kurs cables (4 hi freq and 3 low freq) outside Pirs DC-1.   Installed tether between DC1 egress ladder and SM.  Completed checks of the Strela crane.  Inspected and photographed a partially deployed panel of SM solar array.","5:04","ISS Incr-3","334","2001-11-12T00:00:00.000"
"Russia","Vladimir Dezhurov;Gennady Strekalov;","Fold all but 10 feet of second Kristall solar array and finish installing other array on Kvant-1","5:15","Soyuz TM-19      Mir 18","294","1995-05-22T00:00:00.000"
"Russia","Vladimir Dezhurov;Gennady Strekalov;","Fold one Kristall solar array, move it to Kvant-1 using cargo crane, tie off temporarily","6:50","Soyuz TM-19      Mir 18","293","1995-05-17T00:00:00.000"
"Russia","Vladimir Dezhurov;Gennady Strekalov;","Install electrical cables and adjust solar array actuators on Kvant-1.  Practice folding 3 solar array panels on Kristall","6:08","Soyuz TM-19      Mir 18","292","1995-05-12T00:00:00.000"
"Russia","Vladimir Dezhurov;Gennady Strekalov;","Move base block docking port for Kristall move","0:21","Soyuz TM-19      Mir 18","295","1995-05-29T00:00:00.000"
"Russia","Vladimir Dezhurov;Gennady Strekalov;","Move base block docking port in prep for Spektr docking","0:23","Soyuz TM-19      Mir 18","296","1995-06-16T00:00:00.000"
